	Sample.1	Sample.2	Sample.3	Sample.4	Sample.5	Sample.6	Sample.7	Sample.8	Sample.9	Sample.10	Sample.11	Sample.12	Sample.13	Sample.14	Sample.15	Sample.16	Sample.17	Sample.18	Sample.19	Sample.20
Enterobacter aerogenes et rel.	591.851526364364	446.56047863302	688.220334625631	432.444718355717	436.420471806883	1015.35509989548	1461.98184012561	1572.64602627166	487.184215372061	1406.57953578524	621.096477949488	704.9850368072	502.680590893873	5092.11109727075	530.414092738937	751.453395096379	667.879170585285	451.936121629106	366.47177884163	1826.6966378134
Enterococcus	827.27222398496	770.060863073272	1474.76285210824	1005.35332970748	1456.88305504273	2306.35848878953	846.530859821883	5901.86404953752	1003.39645279902	986.714844450981	1014.39488645959	778.917441682705	936.221019182953	35473.6825601687	10300.9545424889	3070.32115106902	2165.32231396671	870.682723307156	794.56379908427	1013.04535020169
Escherichia coli et rel.	1137.40443948392	1470.26891622597	1747.57710953717	1749.52237877985	1322.73206057027	3278.96600997355	1099.01908232066	1066.73928662249	1325.60648099553	1355.58080686788	2130.78760553516	1674.38371401954	1112.99839499412	79993.0957197646	1962.16222677841	28026.6622835612	2014.86103455252	1157.35908592027	1164.04344566924	1433.39043092703
Eubacterium biforme et rel.	1257.87746824011	2558.63036493112	1857.14496642242	1222.00986016301	1925.04038722178	639.524046867217	629.909033863631	547.161233803211	2587.14298520422	2132.7765497204	41373.0122088022	31280.3277086769	549.200185919906	547.902138753058	672.849599624573	949.77681077964	1639.65827589325	695.034781759482	581.598999612441	6349.61623478961
Eubacterium cylindroides et rel.	693.846075702335	664.236963791238	6145.49725262675	1301.97135681438	859.898872635155	4731.20346374476	1480.4582199044	1406.13868648056	829.433976458222	3307.01192532902	902.145877055557	1018.68347561459	680.508317098928	642.416691207545	855.522828025718	860.145165120183	1290.92853998027	702.063222186096	2747.09782303367	764.440874080239
Eubacterium hallii et rel.	29587.9447076941	10920.1928883313	194419.664479271	25389.8584557385	177468.498906837	12014.0369166722	157404.936940905	290143.260756187	13376.4171285277	121405.441035229	93496.4912720805	48647.7487740232	301596.079867175	597.134979186656	7006.99155574927	771.355008472393	47194.4129928649	105317.803344505	3072.29704118959	84265.1696266628
Eubacterium limosum et rel.	1247.81794511233	824.66308290594	1399.52490116487	1638.29573723816	971.709695273651	887.888296635152	984.393926000776	833.850047124579	948.027972261575	998.024763679893	929.498646210083	909.382498719531	1101.7222909614	788.75201978052	1011.18195267792	1206.60395467661	1751.19393998256	765.334133078869	726.993321431711	1470.51044107073
Eubacterium rectale et rel.	153457.644745351	20735.8239615156	155618.253190681	23688.2518595674	29675.7611810072	51205.0639066854	119336.679134172	93967.9035752939	144829.588643901	188931.339951896	91052.0872336137	171641.878373128	83822.9590661686	1910.98604705706	6928.50457906702	2467.57344570841	69525.0984138928	168028.186824336	118005.369233151	167697.669741154
Eubacterium siraeum et rel.	19681.4813236849	98989.2600288768	18058.8674205403	7344.70287336994	18572.5218698494	14460.412883241	28576.148497005	1148.0439716019	4051.3687635318	11241.577115953	17783.8240058628	9774.42822731427	1010.67154495389	3887.45930641811	1272.25428961115	2522.28130453467	8884.97744991871	1388.86470986363	1042.76671934239	21487.7810385599
Eubacterium ventriosum et rel.	74624.5298881291	9508.99469536734	144156.374674112	11352.7692121577	28724.6219313826	8495.23138381315	76456.0567408191	81642.0901451973	40042.5789824361	71321.8651593353	32916.7646811517	68340.3053060819	74032.5630685061	661.92143675623	5401.12717377252	943.728051485449	19943.0249644365	56980.2563020543	8148.09118578253	76488.6295960451
Faecalibacterium prausnitzii et rel.	650674.605389283	51051.8644647028	456287.984706304	389944.754703687	525042.399996844	13601.3137480288	367910.944228407	20551.4492452765	582265.255049371	745654.827945517	470681.717329727	514153.696126091	106494.211369245	4132.44635372494	10555.3741732762	4981.02720335026	778669.870093363	72865.7326539451	79442.129153917	753626.974717162
Fusobacteria	684.525758505677	674.522195867586	1053.1376117783	811.110428413655	827.476295377442	804.811878052067	662.79125881908	653.562406762157	843.259310701534	757.735935097574	1000.52534727919	653.602542349892	673.084000417311	643.330976686234	818.497374810844	1049.54479245811	1292.64497107567	695.224888443468	692.507022716254	762.021198206109
Gemella	303.401013240092	297.714572203385	472.600942407631	398.567195884613	471.88823421079	380.282154559928	323.899466342491	367.678136181495	383.248172203711	491.69477463777	387.294811235522	320.950943374917	318.508109466166	533.277248767905	414.33278278914	678.666916598874	582.304837242612	338.446377321472	330.231067500366	339.032739985355
